num = 25 | my_sqrt(num) = 5.027777777777778 | math.sqrt(num) = 5.0 | diff = 0.02777777777777768
num = 24 | my_sqrt(num) = 4.916666666666666 | math.sqrt(num) = 4.898979485566356 | diff = 0.017687181100310312
num = 23 | my_sqrt(num) = 4.805555555555555 | math.sqrt(num) = 4.795831523312719 | diff = 0.009724032242836245
num = 22 | my_sqrt(num) = 4.694444444444445 | math.sqrt(num) = 4.69041575982343 | diff = 0.004028684621014911
num = 21 | my_sqrt(num) = 4.583333333333334 | math.sqrt(num) = 4.58257569495584 | diff = 0.0007576383774940965
num = 20 | my_sqrt(num) = 4.472222222222222 | math.sqrt(num) = 4.47213595499958 | diff = 8.62672226427108e-05
num = 19 | my_sqrt(num) = 4.361111111111111 | math.sqrt(num) = 4.358898943540674 | diff = 0.0022121675704367405
num = 18 | my_sqrt(num) = 4.25 | math.sqrt(num) = 4.242640687119285 | diff = 0.00735931288071523
num = 17 | my_sqrt(num) = 4.138888888888889 | math.sqrt(num) = 4.123105625617661 | diff = 0.015783263271228698
num = 16 | my_sqrt(num) = 4.027777777777778 | math.sqrt(num) = 4.0 | diff = 0.02777777777777768
num = 15 | my_sqrt(num) = 3.916666666666667 | math.sqrt(num) = 3.872983346207417 | diff = 0.04368332045924994
num = 14 | my_sqrt(num) = 3.8055555555555554 | math.sqrt(num) = 3.7416573867739413 | diff = 0.06389816878161403
num = 13 | my_sqrt(num) = 3.6944444444444446 | math.sqrt(num) = 3.605551275463989 | diff = 0.08889316898045552
num = 12 | my_sqrt(num) = 3.583333333333333 | math.sqrt(num) = 3.4641016151377544 | diff = 0.11923171819557865
num = 11 | my_sqrt(num) = 3.4722222222222223 | math.sqrt(num) = 3.3166247903554 | diff = 0.1555974318668225
num = 10 | my_sqrt(num) = 3.361111111111111 | math.sqrt(num) = 3.1622776601683795 | diff = 0.19883345094273164
num = 9 | my_sqrt(num) = 3.25 | math.sqrt(num) = 3.0 | diff = 0.25
num = 8 | my_sqrt(num) = 3.138888888888889 | math.sqrt(num) = 2.8284271247461903 | diff = 0.31046176414269855
num = 7 | my_sqrt(num) = 3.0277777777777777 | math.sqrt(num) = 2.6457513110645907 | diff = 0.38202646671318696
num = 6 | my_sqrt(num) = 2.9166666666666665 | math.sqrt(num) = 2.449489742783178 | diff = 0.46717692388348864
num = 5 | my_sqrt(num) = 2.8055555555555554 | math.sqrt(num) = 2.23606797749979 | diff = 0.5694875780557656
num = 4 | my_sqrt(num) = 2.6944444444444446 | math.sqrt(num) = 2.0 | diff = 0.6944444444444446
num = 3 | my_sqrt(num) = 2.5833333333333335 | math.sqrt(num) = 1.7320508075688772 | diff = 0.8512825257644563
num = 2 | my_sqrt(num) = 2.4722222222222223 | math.sqrt(num) = 1.4142135623730951 | diff = 1.0580086598491272
num = 1 | my_sqrt(num) = 2.361111111111111 | math.sqrt(num) = 1.0 | diff = 1.3611111111111112
